"Main_SV_ID","Valid_Col_Name","SV_Type","Target_Ethnicity","Discovery_Beta","Validation_Beta","Validation_SE","Validation_P","N_validation","Species","Mean_Coverage","Mean_Abundance","Validation_Model","Same_Direction"
"Anaerobutyricum_hallii:622_623","Anaerobutyricum_hallii:622_623","dSV","Bai",2.59626313405797,1.54798921353975,0.899232869778165,0.0851682320159915,86,"Anaerobutyricum_hallii",28.3418471780233,0.578508255813953,"glm_binomial",TRUE
"Dorea_formicigenerans:360_361","Dorea_formicigenerans:360_361","dSV","Hani",3.0841771466031,-0.935941993135543,1.004735265984,0.351578984374982,84,"Dorea_formicigenerans",21.0037142190476,0.433385357142857,"glm_binomial",FALSE
"Dorea_formicigenerans:360_361","Dorea_formicigenerans:360_361","dSV","Dai",-2.58729006710013,1.69976224557046,1.28207476475756,0.184909177571766,84,"Dorea_formicigenerans",21.0037142190476,0.433385357142857,"glm_binomial",FALSE
"Blautia_wexlerae:7_8","Blautia_wexlerae:7_8","dSV","Bai",1.66399826195843,-0.586461357150701,0.530950217585125,0.269354386411287,146,"Blautia_wexlerae",54.4482141210959,1.73924397260274,"glm_binomial",FALSE
"Blautia_wexlerae:97_98","Blautia_wexlerae:97_98","dSV","Miao",-1.20539658349503,-1.71099334008982,0.807698191669527,0.0341448214028602,146,"Blautia_wexlerae",54.4482141210959,1.73924397260274,"glm_binomial",TRUE
"Blautia_wexlerae:3510_3511","Blautia_wexlerae:3510_3511","dSV","Miao",-2.50633671439031,-1.04815855492877,0.699676370547816,0.134117153231579,146,"Blautia_wexlerae",54.4482141210959,1.73924397260274,"glm_binomial",TRUE
"Blautia_wexlerae:2935_2936","Blautia_wexlerae:2935_2936","dSV","Bai",1.94430356798729,-0.171583271006889,0.551074918724275,0.755526152993262,146,"Blautia_wexlerae",54.4482141210959,1.73924397260274,"glm_binomial",FALSE
"Ruminococcus_lactaris:1750_1751","Ruminococcus_lactaris:1750_1751","dSV","Miao",2.2850512775557,8.21864982983809,3444.89868774897,0.998096452701925,31,"Ruminococcus_lactaris",38.4454968196774,0.823952258064516,"glm_binomial",TRUE
"Roseburia_inulinivorans:2363_2364;2365_2366","Roseburia_inulinivorans:2363_2364;2365_2366","dSV","Miao",2.88513385136572,-1.60255302967817,1.03554017126473,0.121730017273024,99,"Roseburia_inulinivorans",50.198419449798,1.2407895959596,"glm_binomial",FALSE
"Dorea_formicigenerans:2917_2918","Dorea_formicigenerans:2917_2918","dSV","Miao",-1.42772333854553,0.162073616557714,1.36837472489039,0.905717114460345,84,"Dorea_formicigenerans",21.0037142190476,0.433385357142857,"glm_binomial",FALSE
"Blautia_wexlerae:2085_2086","Blautia_wexlerae:2085_2086","dSV","Miao",-2.8345007580598,-2.7920391134169,1.1253147005839,0.013097082719144,146,"Blautia_wexlerae",54.4482141210959,1.73924397260274,"glm_binomial",TRUE
"Blautia_wexlerae:2085_2086","Blautia_wexlerae:2085_2086","dSV","Bai",2.69084872612711,0.269438629594666,0.531590890131508,0.612257711799042,146,"Blautia_wexlerae",54.4482141210959,1.73924397260274,"glm_binomial",TRUE
"Blautia_wexlerae:3228_3229","Blautia_wexlerae:3228_3229","dSV","Miao",1.12929055003756,1.18919901671183,0.90304078089364,0.187877859020731,146,"Blautia_wexlerae",54.4482141210959,1.73924397260274,"glm_binomial",TRUE
"Blautia_wexlerae:3218_3219","Blautia_wexlerae:3218_3219","dSV","Bai",1.3217099361958,-0.108638033404335,0.545516849106789,0.842147771905411,146,"Blautia_wexlerae",54.4482141210959,1.73924397260274,"glm_binomial",FALSE
"Roseburia_inulinivorans:1170_1171","Roseburia_inulinivorans:1170_1171","dSV","Miao",1.38172458355272,0.0971848485738291,0.838669339237975,0.907747792549699,99,"Roseburia_inulinivorans",50.198419449798,1.2407895959596,"glm_binomial",TRUE
"Roseburia_inulinivorans:2409_2410","Roseburia_inulinivorans:2409_2410","dSV","Miao",1.27897625306172,-1.08669215299704,0.932847399289487,0.244051567673171,99,"Roseburia_inulinivorans",50.198419449798,1.2407895959596,"glm_binomial",FALSE
"Anaerobutyricum_hallii:1997_1998","Anaerobutyricum_hallii:1997_1998","dSV","Miao",1.27624130049065,-0.983445391413408,1.05683937991901,0.352084671750673,86,"Anaerobutyricum_hallii",28.3418471780233,0.578508255813953,"glm_binomial",FALSE
"Anaerobutyricum_hallii:241_243","Anaerobutyricum_hallii:241_243","dSV","Miao",1.21835776466456,0.0482292229816922,1.32302860308217,0.970920635254383,86,"Anaerobutyricum_hallii",28.3418471780233,0.578508255813953,"glm_binomial",TRUE
"Blautia_wexlerae:2953_2954","Blautia_wexlerae:2953_2954","dSV","Miao",-0.935759200135028,-2.20879643043557,0.803224650952258,0.005961142438974,146,"Blautia_wexlerae",54.4482141210959,1.73924397260274,"glm_binomial",TRUE
"Anaerobutyricum_soehngenii:673_674","Anaerobutyricum_soehngenii:673_674","dSV","Miao",2.71485698836002,1.61929737960654,2.88140677563087,0.574128605339825,38,"Anaerobutyricum_soehngenii",21.5874180065789,0.484041578947368,"glm_binomial",TRUE
"Anaerobutyricum_hallii:557_559","Anaerobutyricum_hallii:557_559","dSV","Miao",1.01174953601345,-1.49875368833566,1.78364934423994,0.400754926879799,86,"Anaerobutyricum_hallii",28.3418471780233,0.578508255813953,"glm_binomial",FALSE
